grid_id,lat,lon,avg_severity,total_loss,total_casualties,event_count,risk_score,cluster,risk_label
-1.0_-115.0,-1.0,-115.0,6.27,29796531.4,688,4,9.165486947234177,2,Very High Risk
-1.0_-123.0,-1.0,-123.0,4.988461538461538,68859648.31,1180,13,9.296953516278606,0,High Risk
-1.0_-151.0,-1.0,-151.0,6.994285714285715,45767289.019999996,907,7,9.641327242701575,1,Extreme Danger Zone
-1.0_-155.0,-1.0,-155.0,5.426666666666667,62343021.42,996,9,9.314132434477239,0,High Risk
-1.0_-157.0,-1.0,-157.0,6.423333333333333,48027867.56,1009,6,9.503090296473752,1,Extreme Danger Zone
-1.0_-169.0,-1.0,-169.0,5.285,53939877.47,1112,10,9.27074801944681,0,High Risk
-1.0_-39.0,-1.0,-39.0,5.524444444444445,39611092.559999995,1234,9,9.271625650570387,0,High Risk
-1.0_-5.0,-1.0,-5.0,6.4719999999999995,65644049.800000004,1597,10,9.794269225573467,1,Extreme Danger Zone
-1.0_-59.0,-1.0,-59.0,5.40125,53863132.129999995,706,8,9.148993702121805,0,High Risk
-1.0_-83.0,-1.0,-83.0,6.376,41276159.34,585,5,9.26471058173352,2,Very High Risk
-1.0_11.0,-1.0,11.0,5.771666666666667,35642843.58,772,6,9.13789242097242,0,High Risk
-1.0_13.0,-1.0,13.0,5.432222222222222,51427606.53,797,9,9.19126346451439,0,High Risk
-1.0_141.0,-1.0,141.0,5.654285714285714,48843969.49,896,7,9.255189077001283,0,High Risk
-1.0_145.0,-1.0,145.0,6.1657142857142855,41815011.15,805,7,9.32991335524325,2,Very High Risk
-1.0_15.0,-1.0,15.0,6.0042857142857144,51360975.84,670,7,9.288177380535856,2,Very High Risk
-1.0_151.0,-1.0,151.0,7.475,22199945.16,482,4,9.332128913823484,2,Very High Risk
-1.0_153.0,-1.0,153.0,5.53625,39493638.51,925,8,9.177354785680116,0,High Risk
-1.0_155.0,-1.0,155.0,5.872857142857143,39482688.05,880,7,9.251530449379635,0,High Risk
-1.0_163.0,-1.0,163.0,5.87,47073891.33,649,6,9.198851454471905,0,High Risk
-1.0_167.0,-1.0,167.0,5.637142857142857,37813680.28,777,7,9.130559428683409,0,High Risk
-1.0_31.0,-1.0,31.0,5.832857142857143,45762899.51,716,7,9.222019335694421,0,High Risk
-1.0_57.0,-1.0,57.0,6.558,25361403.84,534,5,9.145877695561024,2,Very High Risk
-1.0_7.0,-1.0,7.0,6.973333333333333,39599408.519999996,879,6,9.568865016647935,1,Extreme Danger Zone
-11.0_-103.0,-11.0,-103.0,6.6066666666666665,78080230.41,993,9,9.734753910442329,1,Extreme Danger Zone
-11.0_-125.0,-11.0,-125.0,4.7275,45606983.64,1256,12,9.106361328728674,0,High Risk
-11.0_-131.0,-11.0,-131.0,6.45,27007535.74,560,4,9.128348019960782,2,Very High Risk
-11.0_-141.0,-11.0,-141.0,5.588333333333334,38243582.92,812,6,9.11915625682383,0,High Risk
-11.0_-145.0,-11.0,-145.0,5.021333333333334,72502683.38,1309,15,9.366733840603686,0,High Risk
-11.0_-149.0,-11.0,-149.0,5.99875,39038906.85,819,8,9.27615956300036,2,Very High Risk
-11.0_-151.0,-11.0,-151.0,6.488333333333333,34923786.03,570,6,9.255911397340988,2,Very High Risk
-11.0_-153.0,-11.0,-153.0,6.394,39757693.230000004,606,5,9.269428768001,2,Very High Risk
-11.0_-21.0,-11.0,-21.0,5.968,65378362.95,1182,10,9.551642767045259,1,Extreme Danger Zone
-11.0_-45.0,-11.0,-45.0,5.673333333333334,44797723.239999995,968,9,9.280438262230831,0,High Risk
-11.0_-5.0,-11.0,-5.0,6.115,53087527.01,911,10,9.455217298669043,1,Extreme Danger Zone
-11.0_-7.0,-11.0,-7.0,5.35,45366859.54,1173,9,9.24479784514177,0,High Risk
-11.0_-79.0,-11.0,-79.0,6.825999999999999,28523536.47,728,5,9.354350120684758,2,Very High Risk
-11.0_-89.0,-11.0,-89.0,6.4239999999999995,29393968.82,641,5,9.204642468962222,2,Very High Risk
-11.0_119.0,-11.0,119.0,5.47375,44480904.76,920,8,9.192656639912801,0,High Risk
-11.0_125.0,-11.0,125.0,5.494285714285715,40013522.010000005,943,7,9.162686127355443,0,High Risk
-11.0_129.0,-11.0,129.0,8.065000000000001,11006272.92,360,2,9.160217423727149,2,Very High Risk
-11.0_13.0,-11.0,13.0,5.558888888888889,50263612.79,1168,9,9.336933961229184,0,High Risk
-11.0_133.0,-11.0,133.0,6.725714285714285,49609844.82,914,7,9.587245622394295,1,Extreme Danger Zone
-11.0_145.0,-11.0,145.0,5.78,32780241.75,748,6,9.105813670965501,0,High Risk
-11.0_151.0,-11.0,151.0,6.017142857142857,29660572.900000002,867,7,9.204543298842598,0,High Risk
-11.0_159.0,-11.0,159.0,4.7128571428571435,68379317.59,1347,14,9.258749643532294,0,High Risk
-11.0_17.0,-11.0,17.0,7.678,42370504.31,751,5,9.737985758705339,1,Extreme Danger Zone
-11.0_29.0,-11.0,29.0,6.036666666666666,58888597.31,1146,9,9.522077460279283,1,Extreme Danger Zone
-11.0_3.0,-11.0,3.0,6.163333333333334,33294525.450000003,745,6,9.224279766137487,2,Very High Risk
-11.0_49.0,-11.0,49.0,5.824285714285715,25365749.51,858,7,9.0966336701353,0,High Risk
-11.0_59.0,-11.0,59.0,5.6657142857142855,49007070.870000005,942,7,9.274620875533934,0,High Risk
-11.0_65.0,-11.0,65.0,6.743333333333333,26274409.54,516,3,9.16127411053128,2,Very High Risk
-11.0_67.0,-11.0,67.0,6.652000000000001,42871829.65,712,5,9.417738035052615,2,Very High Risk
-11.0_75.0,-11.0,75.0,5.705,40854699.96,935,8,9.241366836045728,0,High Risk
-11.0_77.0,-11.0,77.0,7.355,11442426.809999999,575,4,9.15012771221839,2,Very High Risk
-13.0_-121.0,-13.0,-121.0,5.352222222222222,38317791.01,1048,9,9.161030425372777,0,High Risk
-13.0_-123.0,-13.0,-123.0,6.145,40973480.92,813,6,9.307209814598963,2,Very High Risk
-13.0_-127.0,-13.0,-127.0,6.49,38560424.89,989,7,9.464576758859804,1,Extreme Danger Zone
-13.0_-133.0,-13.0,-133.0,5.590000000000001,37998423.74,946,7,9.176850460910071,0,High Risk
-13.0_-139.0,-13.0,-139.0,6.590000000000001,44218178.86,710,5,9.407571647323774,2,Very High Risk
-13.0_-145.0,-13.0,-145.0,8.023333333333333,26367617.8,529,3,9.553786714476646,1,Extreme Danger Zone
-13.0_-147.0,-13.0,-147.0,7.1,26465249.779999997,663,4,9.367831377828612,2,Very High Risk
-13.0_-3.0,-13.0,-3.0,7.118,50941262.15,784,5,9.638136209465909,1,Extreme Danger Zone
-13.0_-31.0,-13.0,-31.0,6.183333333333334,48332981.66,722,6,9.332701208467183,2,Very High Risk
-13.0_-33.0,-13.0,-33.0,6.102222222222222,52453162.07,868,9,9.423757472758266,2,Very High Risk
-13.0_-45.0,-13.0,-45.0,6.23,31266834.34,861,6,9.268788152093629,2,Very High Risk
-13.0_-47.0,-13.0,-47.0,6.455,47491394.77,998,8,9.531066624601944,1,Extreme Danger Zone
-13.0_-7.0,-13.0,-7.0,5.013,60226545.68,1123,10,9.225171372764654,0,High Risk
-13.0_-95.0,-13.0,-95.0,7.233333333333333,28064210.33,348,3,9.2101527240968,2,Very High Risk
-13.0_-99.0,-13.0,-99.0,6.41,26726640.009999998,739,6,9.229937495728493,2,Very High Risk
-13.0_103.0,-13.0,103.0,5.779999999999999,40268125.019999996,693,5,9.129238773982454,0,High Risk
-13.0_121.0,-13.0,121.0,7.2725,39752458.5,556,4,9.488918044630891,1,Extreme Danger Zone
-13.0_151.0,-13.0,151.0,7.04,47594014.22,979,7,9.689675199854753,1,Extreme Danger Zone
-13.0_163.0,-13.0,163.0,6.048333333333333,35051015.9,532,6,9.104341997314128,0,High Risk
-13.0_169.0,-13.0,169.0,8.7,11886490.18,506,2,9.475688465434745,1,Extreme Danger Zone
-13.0_21.0,-13.0,21.0,6.508571428571429,48854934.61,1110,7,9.575730109844677,1,Extreme Danger Zone
-13.0_33.0,-13.0,33.0,6.48,54134197.03,914,8,9.551492678423305,1,Extreme Danger Zone
-13.0_37.0,-13.0,37.0,5.932,29571107.9,748,5,9.105090159569263,0,High Risk
-13.0_49.0,-13.0,49.0,5.64,58388811.16,1491,10,9.488941818561953,1,Extreme Danger Zone
-13.0_69.0,-13.0,69.0,6.051666666666667,44990335.81,921,6,9.3446420681084,2,Very High Risk
-13.0_75.0,-13.0,75.0,7.805,15434405.88,285,2,9.113791708581264,2,Very High Risk
-13.0_79.0,-13.0,79.0,6.054285714285714,31815222.630000003,1036,7,9.290092670032154,2,Very High Risk
-13.0_83.0,-13.0,83.0,6.30875,41321343.800000004,1008,8,9.448428888140308,1,Extreme Danger Zone
-13.0_89.0,-13.0,89.0,6.388,39402826.75,776,5,9.339012494632309,2,Very High Risk
-13.0_91.0,-13.0,91.0,5.934545454545455,53093013.97,1273,11,9.510096132003557,1,Extreme Danger Zone
-15.0_-117.0,-15.0,-117.0,6.37,22451261.979999997,834,6,9.20187776077014,2,Very High Risk
-15.0_-121.0,-15.0,-121.0,5.886666666666667,39551018.2,1197,9,9.370711749429244,2,Very High Risk
-15.0_-125.0,-15.0,-125.0,6.574000000000001,21559514.490000002,614,5,9.143760976600175,2,Very High Risk
-15.0_-13.0,-15.0,-13.0,7.273333333333333,22297891.96,355,3,9.159109479127876,2,Very High Risk
-15.0_-135.0,-15.0,-135.0,6.281666666666666,41157010.83,790,6,9.340951865459514,2,Very High Risk
-15.0_-161.0,-15.0,-161.0,5.39375,56521197.86,1009,8,9.268197038726704,0,High Risk
-15.0_-169.0,-15.0,-169.0,5.7299999999999995,40386658.24,602,7,9.101722334655973,0,High Risk
-15.0_-21.0,-15.0,-21.0,5.865714285714286,54866933.76,915,7,9.35978978242359,0,High Risk
-15.0_-3.0,-15.0,-3.0,6.618333333333333,54518295.11,834,6,9.542534605881698,1,Extreme Danger Zone
-15.0_-99.0,-15.0,-99.0,5.998,42690286.71,708,5,9.21857720435111,0,High Risk
-15.0_103.0,-15.0,103.0,6.6739999999999995,29044462.41,368,5,9.109916470575532,2,Very High Risk
-15.0_107.0,-15.0,107.0,6.923333333333333,21917316.759999998,618,3,9.214897312195381,2,Very High Risk
-15.0_113.0,-15.0,113.0,6.4799999999999995,25685360.9,553,5,9.13675489646299,2,Very High Risk
-15.0_127.0,-15.0,127.0,6.262857142857143,37167643.410000004,912,7,9.361106811257365,2,Very High Risk
-15.0_161.0,-15.0,161.0,5.966666666666666,41332092.4,813,6,9.256324075525537,0,High Risk
-15.0_165.0,-15.0,165.0,5.661666666666666,38877439.41,904,6,9.178248908709497,0,High Risk
-15.0_169.0,-15.0,169.0,5.856,46371254.16,816,5,9.243324772690148,0,High Risk
-15.0_17.0,-15.0,17.0,5.733333333333333,34108328.02,791,6,9.120475082014304,0,High Risk
-15.0_31.0,-15.0,31.0,5.737142857142857,39362078.480000004,893,7,9.21429278218384,0,High Risk
-15.0_33.0,-15.0,33.0,7.05,41239748.629999995,441,5,9.382042855360238,2,Very High Risk
-15.0_37.0,-15.0,37.0,5.554444444444445,45998035.61,1131,9,9.29934700160702,0,High Risk
-15.0_39.0,-15.0,39.0,5.69375,44197299.75,684,8,9.167925392065873,0,High Risk
-15.0_45.0,-15.0,45.0,5.3999999999999995,41461610.56,1004,8,9.175628864217432,0,High Risk
-15.0_49.0,-15.0,49.0,6.097142857142857,36470511.839999996,715,7,9.232795448795454,2,Very High Risk
-15.0_53.0,-15.0,53.0,6.2700000000000005,49305756.21,734,7,9.382970727322515,2,Very High Risk
-15.0_63.0,-15.0,63.0,6.984,28374575.009999998,1043,5,9.507921604838184,1,Extreme Danger Zone
-15.0_89.0,-15.0,89.0,5.522,62966163.55,1223,10,9.416785787035558,0,High Risk
-17.0_-11.0,-17.0,-11.0,5.72,49761887.38,721,7,9.21537968246602,0,High Risk
-17.0_-121.0,-17.0,-121.0,6.342857142857143,35621991.28,1065,7,9.418844008171114,2,Very High Risk
-17.0_-127.0,-17.0,-127.0,6.281666666666666,46766931.78,820,6,9.390454031728341,2,Very High Risk
-17.0_-13.0,-17.0,-13.0,6.0249999999999995,42320274.88,912,6,9.31534483840302,2,Very High Risk
-17.0_-139.0,-17.0,-139.0,6.465999999999999,33900481.05,649,5,9.263749593393788,2,Very High Risk
-17.0_-151.0,-17.0,-151.0,5.74,44385915.19,791,7,9.21484240395882,0,High Risk
-17.0_-153.0,-17.0,-153.0,7.078,45323898.489999995,632,5,9.526520583733424,1,Extreme Danger Zone
-17.0_-155.0,-17.0,-155.0,5.233,56708451.32,1127,10,9.274180105443486,0,High Risk
-17.0_-161.0,-17.0,-161.0,6.866666666666667,34188085.28,394,3,9.19651150166954,2,Very High Risk
-17.0_-17.0,-17.0,-17.0,6.669999999999999,30180778.689999998,912,5,9.39201146478999,2,Very High Risk
-17.0_-23.0,-17.0,-23.0,5.484285714285714,46380786.22,693,7,9.111690215479324,0,High Risk
-17.0_-29.0,-17.0,-29.0,6.1125,44465221.76,1053,8,9.424642155639907,2,Very High Risk
-17.0_-49.0,-17.0,-49.0,4.787,67643600.49000001,810,10,9.094298941179636,0,High Risk
-17.0_-63.0,-17.0,-63.0,6.6850000000000005,26316557.62,421,4,9.105658056760086,2,Very High Risk
-17.0_-67.0,-17.0,-67.0,6.458,30660921.7,494,5,9.14949313335568,2,Very High Risk
-17.0_-69.0,-17.0,-69.0,5.955000000000001,30742282.970000003,705,6,9.121320464030786,0,High Risk
-17.0_-7.0,-17.0,-7.0,6.315,35683984.71,792,6,9.308901751362827,2,Very High Risk
-17.0_-85.0,-17.0,-85.0,6.288,48671054.36,553,5,9.270903872617628,2,Very High Risk
-17.0_111.0,-17.0,111.0,5.895,28140960.72,769,6,9.10282920495827,0,High Risk
-17.0_115.0,-17.0,115.0,7.053999999999999,36329673.660000004,701,5,9.483999602837685,1,Extreme Danger Zone
-17.0_121.0,-17.0,121.0,5.028888888888889,46158156.25,1027,9,9.113811587302619,0,High Risk
-17.0_127.0,-17.0,127.0,9.085,31837610.8,209,2,9.622341161035832,1,Extreme Danger Zone
-17.0_13.0,-17.0,13.0,5.7628571428571425,54801283.89,982,7,9.349751292631629,0,High Risk
-17.0_133.0,-17.0,133.0,5.637142857142857,45904396.22,575,7,9.098540750652282,0,High Risk
-17.0_151.0,-17.0,151.0,5.427142857142857,40600743.09,999,7,9.164202680528657,0,High Risk
-17.0_159.0,-17.0,159.0,5.494285714285715,47430856.06,703,7,9.125698445607629,0,High Risk
-17.0_25.0,-17.0,25.0,7.0920000000000005,26330730.1,539,5,9.32012087815818,2,Very High Risk
-17.0_61.0,-17.0,61.0,5.213333333333334,48966857.61,891,9,9.144294630777141,0,High Risk
-17.0_65.0,-17.0,65.0,6.14,37722744.27,763,6,9.26189348964665,2,Very High Risk
-17.0_71.0,-17.0,71.0,5.764285714285714,37502759.58,710,7,9.139209128504016,0,High Risk
-17.0_87.0,-17.0,87.0,6.23,39347002.94,453,4,9.11175206800808,2,Very High Risk
-17.0_89.0,-17.0,89.0,6.686249999999999,47726944.42,1043,8,9.6151438952266,1,Extreme Danger Zone
-17.0_91.0,-17.0,91.0,5.296666666666667,51622664.4,760,9,9.137489932441976,0,High Risk
-19.0_-101.0,-19.0,-101.0,5.1045454545454545,52474887.3,1199,11,9.239630940586071,0,High Risk
-19.0_-11.0,-19.0,-11.0,7.003333333333333,26992948.04,458,3,9.211670372089314,2,Very High Risk
-19.0_-119.0,-19.0,-119.0,5.867142857142857,43807077.92,836,7,9.265626026897417,0,High Risk
-19.0_-149.0,-19.0,-149.0,5.507777777777778,57685606.93,1001,9,9.316673308449053,0,High Risk
-19.0_-3.0,-19.0,-3.0,6.114,29216176.62,647,5,9.11261309839963,0,High Risk
